019-12-25T23:42:29.081+07:00	INFO 	R1 receive event <-495:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>32
2019-12-25T23:43:14.016+07:00	INFO 	P1 receive message <133:Res,0,25,1;0.76;0.04,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00,0;0.00;0.00>9A
2019-12-25T23:43:19.095+07:00	INFO 	R1 send <838:GetWaf,R1:B1,P1:1>8F
2019-12-25T23:43:19.124+07:00	INFO 	R1 receive message <838:Ack,0>48
2019-12-25T23:43:20.124+07:00	INFO 	R1 receive event <-505:Evt,8F202,3,R1:B1,P1:1,GetWaf,^1 is now extended into ^2 during ^3 command>2A
2019-12-25T23:43:21.613+07:00	INFO 	R1 receive event <-506:Evt,8F203,3,R1:B1,P1:1,GetWaf,^1 is now retracted from ^2 during ^3 command>93
2019-12-25T23:43:21.641+07:00	INFO 	R1 receive message <838:Res,0>63
2019-12-25T23:43:21.671+07:00	INFO 	R1 send <842:QryCpos,R1:B1,Symbl>38
2019-12-25T23:43:21.700+07:00	INFO 	R1 receive message <842:Ack,0>43
2019-12-25T23:43:21.731+07:00	INFO 	R1 receive message <842:Res,P1:1,Safe>C5
2019-12-25T23:43:21.759+07:00	INFO 	R1 send <843:PutWaf,R1:B1,P1:25>DA
2019-12-25T23:43:21.789+07:00	INFO 	R1 receive message <843:Ack,0>44
2019-12-25T23:43:22.508+07:00	INFO 	R1 receive event <-507:Evt,8F201,3,R1:B1,P1:25,PutWaf,^1 is now pointing at ^2 during ^3 command>AC
2019-12-25T23:43:23.514+07:00	INFO 	R1 receive event <-508:Evt,8F202,3,R1:B1,P1:25,PutWaf,^1 is now extended into ^2 during ^3 command>7C
2019-12-25T23:43:24.778+07:00	INFO 	R1 receive event <-509:Evt,8F203,3,R1:B1,P1:25,PutWaf,^1 is now retracted from ^2 during ^3 command>E5
2019-12-25T23:43:24.809+07:00	INFO 	R1 receive message <843:Res,0>5F
2019-12-25T23:43:24.838+07:00	INFO 	R1 send <847:QryCpos,R1:B1,Symbl>3D
2019-12-25T23:43:24.868+07:00	INFO 	R1 receive message <847:Ack,0>48
2019-12-25T23:43:24.897+07:00	INFO 	R1 receive message <847:Res,P1:25,Safe>00
2019-12-25T23:43:34.931+07:00	INFO 	R1 send <858:GetWaf,R1:B1,P1:25>C7
2019-12-25T23:43:34.961+07:00	INFO 	R1 receive message <858:Ack,0>4A
2019-12-25T23:43:35.957+07:00	INFO 	R1 receive event <-510:Evt,8F202,3,R1:B1,P1:25,GetWaf,^1 is now extended into ^2 during ^3 command>5C
2019-12-25T23:43:37.449+07:00	INFO 	R1 receive event <-511:Evt,8F203,3,R1:B1,P1:25,GetWaf,^1 is now retracted from ^2 during ^3 command>C5
2019-12-25T23:43:37.478+07:00	INFO 	R1 receive message <858:Res,0>65
2019-12-25T23:43:37.507+07:00	INFO 	R1 send <862:QryCpos,R1:B1,Symbl>3A
2019-12-25T23:43:37.539+07:00	INFO 	R1 receive message <862:Ack,0>45
2019-12-25T23:43:37.565+07:00	INFO 	R1 receive message <862:Res,P1:25,Safe>FD
2019-12-25T23:43:37.597+07:00	INFO 	R1 send <863:PutWaf,R1:B1,P1:1>A6
2019-12-25T23:43:37.628+07:00	INFO 	R1 receive message <863:Ack,0>46
2019-12-25T23:43:38.345+07:00	INFO 	R1 receive event <-512:Evt,8F201,3,R1:B1,P1:1,PutWaf,^1 is now pointing at ^2 during ^3 command>72
2019-12-25T23:43:39.354+07:00	INFO 	R1 receive event <-513:Evt,8F202,3,R1:B1,P1:1,PutWaf,^1 is now extended into ^2 during ^3 command>42
2019-12-25T23:43:40.618+07:00	INFO 	R1 receive event <-514:Evt,8F203,3,R1:B1,P1:1,PutWaf,^1 is now retracted from ^2 during ^3 command>AB
2019-12-25T23:43:40.648+07:00	INFO 	R1 receive message <863:Res,0>61
2019-12-25T23:43:40.677+07:00	INFO 	R1 send <867:QryCpos,R1:B1,Symbl>3F
2019-12-25T23:43:40.706+07:00	INFO 	R1 receive message <867:Ack,0>4A
2019-12-25T23:43:40.736+07:00	INFO 	R1 receive message <867:Res,P1:1,Safe>CC
2019-12-25T23:43:45.771+07:00	INFO 	P1 send <166:Unload,Unclamp>36
2019-12-25T23:43:45.809+07:00	INFO 	P1 receive message <166:Ack,0>42
2019-12-25T23:43:46.491+07:00	INFO 	P1 receive event <-444:Evt,DF037,POD Lowered Off>BE
2019-12-25T23:43:46.495+07:00	INFO 	P1 receive event <-445:Evt,DF041,Mapper not in safe location>AF
2019-12-25T23:43:48.597+07:00	INFO 	P1 receive event <-446:Evt,DF034,PDO Raised On>E5
2019-12-25T23:43:48.627+07:00	INFO 	P1 receive event <-447:Evt,DF033,PDO Undocked Off>18
2019-12-25T23:43:49.883+07:00	INFO 	P1 receive event <-448:Evt,DF030,PDO Docked On>D5
2019-12-25T23:43:49.891+07:00	INFO 	P1 receive event <-449:Evt,DF023,FOUP Door Unlatched Off>8F
2019-12-25T23:43:49.895+07:00	INFO 	P1 receive event <-450:Evt,DF020,FOUP Door Latched On>43
2019-12-25T23:43:49.915+07:00	INFO 	P1 receive event <-451:Evt,DF025,FOUP Door Unchucked>51
2019-12-25T23:43:50.855+07:00	INFO 	P1 receive event <-452:Evt,DF016,Docked Off>2F
2019-12-25T23:43:51.432+07:00	INFO 	P1 receive event <-453:Evt,DF017,Undocked On>B6
2019-12-25T23:43:51.452+07:00	INFO 	P1 receive event <-454:Evt,DF012,Clamped Off>99
2019-12-25T23:43:51.456+07:00	INFO 	P1 receive event <-455:Evt,DF013,Unclamped On>20
2019-12-25T23:43:51.522+07:00	INFO 	P1 receive message <166:Res,0,OK>23
2019-12-25T23:43:51.555+07:00	INFO 	R1 send <879:Init>76
2019-12-25T23:43:51.586+07:00	INFO 	R1 receive message <879:Ack,0>4D
2019-12-25T23:43:52.908+07:00	INFO 	R1 receive message <879:Res,0>68
2019-12-25T23:43:52.938+07:00	INFO 	R1 send <881:Home>64
2019-12-25T23:43:52.966+07:00	INFO 	R1 receive message <881:Ack,0>46
2019-12-25T23:43:55.216+07:00	INFO 	R1 receive message <881:Res,0>61
2019-12-25T23:43:55.219+07:00	INFO 	R1 send <884:QryCpos,R1:B1,Symbl>3E
2019-12-25T23:43:55.276+07:00	INFO 	R1 receive message <884:Ack,0>49
2019-12-25T23:43:55.303+07:00	INFO 	R1 receive message <884:Res,P1:1,Safe>CB
2019-12-25T23:43:55.333+07:00	INFO 	P1 send <176:Home>61
2019-12-25T23:43:55.362+07:00	INFO 	P1 receive message <176:Ack,0>43
2019-12-25T23:43:55.394+07:00	INFO 	P1 receive event <-456:Evt,3FE01,Loadport Requires Homing>E3
2019-12-25T23:43:55.413+07:00	INFO 	P1 receive event <-457:Evt,DF011,Clamped On>3D
2019-12-25T23:43:55.417+07:00	INFO 	P1 receive event <-458:Evt,DF014,Unclamped Off>82
2019-12-25T23:43:56.085+07:00	INFO 	P1 receive event <-459:Evt,DF012,Clamped Off>9E
2019-12-25T23:43:56.089+07:00	INFO 	P1 receive event <-460:Evt,DF013,Unclamped On>1C
2019-12-25T23:43:56.154+07:00	INFO 	P1 receive message <176:Res,0,OK>24
2019-12-25T23:43:56.184+07:00	INFO 	P1 send <178:Load,Open>18
2019-12-25T23:43:56.214+07:00	INFO 	P1 receive message <178:Ack,0>45
2019-12-25T23:43:56.248+07:00	INFO 	P1 receive event <-461:Evt,DF024,FOUP Door Chucked>6E
2019-12-25T23:43:56.272+07:00	INFO 	P1 receive event <-462:Evt,DF031,PDO Docked Off>30
2019-12-25T23:43:56.276+07:00	INFO 	P1 receive event <-463:Evt,DF021,FOUP Door Latched Off>A6
